Ref,Val,Package,PosX,PosY,Rot,Side
C1,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,21.2,-1.6,0,top
C2,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,36.6,-11.5,90,top
C3,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2.3,-18.9,90,top
C4,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,3.1,-9.3,-90,top
C5,22uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,6.6,-15.6,90,top
C6,22uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,38.6,-18.1625,-90,top
F1,1812L150MR,Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder,19.3,-16.2,0,top
H5,MountingHole,JLCPCB-tooling-hole,33,-2,0,top
H6,MountingHole,JLCPCB-tooling-hole,2,-13,0,top
H7,MountingHole,JLCPCB-tooling-hole,26,-27.5,0,top
J1,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,34.22,-26.15361,0,top
J2,USB_C_Receptacle,USB_C_Receptacle_Amphenol_12401610E4-2A_CircularHoles,13.22,-4.15361,180,top
J3,USB_C_Receptacle,USB_C_Receptacle_Amphenol_12401610E4-2A_CircularHoles,13.22,-24.65361,0,top
Q1,IRLML6401,SOT-23,29.7625,-18.75,180,top
Q2,IRLML6401,SOT-23,29.7625,-15.15,180,top
Q3,IRLML6401,SOT-23,21.1375,-10.49,0,top
Q4,IRLML6401,SOT-23,21.1375,-6.99,0,top
R1,56K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,27.8,-22.8,-90,top
R2,56K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,31.9,-10.6,-90,top
R3,22k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,26.7,-18.9,90,top
R4,22k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,26.7,-15,90,top
R5,5.1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,17.42,-12.15361,90,top
R6,5.1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,9.02,-12.15361,90,top
R7,56K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,28.3,-11.1,180,top
R8,56K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,28.3,-7.33,180,top
R9,22k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,24.2,-10.7,-90,top
R10,22k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,24.2,-6.9,-90,top
R11,330,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,21.2,-4,0,top
R12,330,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,38.7,-11.5,90,top
R13,330,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,4.4,-18.9,90,top
R14,330,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,5.2,-9.3,-90,top
U3,SRV05-4,SOT-23-6,22,-25,90,top
